name,price,rr,brand,orignal_price,discount
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,,aadi,₹999,70% off
Crystal-13 Black Sports Transparent Sole Technology For...,"₹1,259",,asian,"₹2,299",45% off
Mesh Running Shoes For Men,₹249,,aadi,₹999,75% off
Trendy And Stylish New Design Sport Shoes For Men Pack ...,₹449,,BIRDE,"₹1,498",70% off
MCW-145 Running Shoes For Men,₹249,,BRUTON,"₹1,299",80% off
Modern Trendy Sneakers Shoes Sneakers For Men,₹299,,BRUTON,"₹1,299",76% off
Combo Pack Of 2 Casual Shoes Sneakers For Men Sneakers ...,₹499,,BRUTON,"₹2,499",80% off
VELOCITY Running Shoes For Men,"₹1,225",,HRX by Hrithik Roshan,"₹3,499",64% off
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,,aadi,₹999,70% off
shoes Walking Shoes For Men,₹399,,WAAN,"₹1,999",80% off
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹419,,aadi,"₹1,999",79% off
Slip On Sneakers For Men,₹299,,SUKUN,₹999,70% off
Walking Shoes For Men,"₹1,165",,RED TAPE,"₹5,299",78% off
Running Shoes For Men,₹524,,asian,₹999,47% off
Durable and Comfortable Running Shoes Sneakers For Men,₹269,,AAKA style,₹999,73% off
Exclusive Affordable Collection of Trendy & Stylish Cas...,₹229,,World Wear Footwear,"₹1,490",84% off
Combo Pack Of 4 Casual Shoes Loafer Shoes Sneakers For ...,₹499,,BRUTON,"₹3,635",86% off
UP Sneakers For Men,"₹1,999",,PUMA,"₹3,999",50% off
Ultralightweight | Comfortable | Breathable Walking | O...,₹299,,aadi,₹999,70% off
FIRST Running Shoes For Men,"₹1,329",,CAMPUS,"₹1,799",26% off
Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹499,,BRUTON,"₹2,499",80% off
Mesh| Ultralightweight| Premiun| Comfort| Summer Tendy|...,₹299,,aadi,₹999,70% off
Slip On For Men,₹296,,AJANTA,₹299,1% off
Crystal-13 Black Sports Transparent Sole Technology For...,"₹1,259",,asian,"₹2,299",45% off
Sporty And Good Looking NavyBlue & Silver Running Shoes...,₹714,,Sparx,"₹1,299",45% off
Running Shoes For Men,"₹1,099",,asian,"₹1,999",45% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
CyberRun M Running Shoes For Men,"₹2,020",,ADIDAS,"₹4,299",53% off
FIRST Running Shoes For Men,"₹1,329",,CAMPUS,"₹1,799",26% off
CAMP KRIPTO Running Shoes For Men,"₹1,332",,CAMPUS,"₹1,699",21% off
Trendy Sports Running Running Shoes For Men,₹299,,BRUTON,"₹1,299",76% off
SD9039G Casuals For Men,₹549,,Sparx,₹999,45% off
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹349,,aadi,₹999,65% off
Energy Runner 3.0 M Running Shoes For Men,"₹1,247",,REEBOK,"₹2,599",52% off
Mesh | Ultralightweight| Premiun| Comfort| Summer Tendy...,₹249,,aadi,₹999,75% off
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,,aadi,₹999,70% off
Modern Trendy Sneakers Shoes Sneakers For Men,₹299,,BRUTON,"₹1,299",76% off
Premium Sports Shoes for Women Walking Shoes For Women,₹349,,BIRDE,₹999,65% off
Flex Bar Walking Shoes For Men,"₹1,107",,PUMA,"₹3,999",72% off
Combo Pack Of 2 Casual Shoes Sneakers For Men Sneakers ...,₹499,,BRUTON,"₹2,499",80% off
Comfortable and Light Weight sports shoes for men and b...,₹279,,Elevarse,₹899,68% off
VELOCITY Running Shoes For Men,"₹1,225",,HRX by Hrithik Roshan,"₹3,499",64% off
Boots For Men,"₹1,561",,RED TAPE,"₹7,099",78% off
MCW-145 Running Shoes For Men,₹249,,BRUTON,"₹1,299",80% off
MULTY-FORCE Badminton Shoes For Men,"₹1,429",,NIVIA,"₹2,599",45% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
Fashion and Stylish Soft Ultralight Lace Up Sneakers Ca...,₹399,,K' Footlance,₹999,60% off
VolantRun M Running Shoes For Men,"₹2,015",,ADIDAS,"₹4,799",58% off
D Rose Son of Chi II Basketball Shoes For Men,"₹4,699",,ADIDAS,"₹9,999",53% off
shoes Walking Shoes For Men,₹399,,WAAN,"₹1,999",80% off
Exclusive Affordable Collection of Trendy & Stylish Cas...,₹229,,World Wear Footwear,"₹1,490",84% off
Sneakers For Women,₹399,,Deals4you,"₹1,999",80% off
Running Shoes For Men,₹619,,WROGN ACTIVE,"₹2,049",69% off
SolderRun M Running Shoes For Men,"₹2,819",,ADIDAS,"₹5,999",53% off
"Delta-20 Slateblue Sports,Casual,Walking,Gym, Walking S...",₹724,,asian,"₹1,299",44% off
Combo Pack Of 4 Casual Shoes Loafer Shoes Sneakers For ...,₹499,,BRUTON,"₹3,635",86% off
FIRST Running Shoes For Men,"₹1,329",,CAMPUS,"₹1,799",26% off
"Nexon-13 Grey Sports,Walking,Training,Gym,Stylish, Runn...",₹614,,asian,"₹1,199",48% off
"SM-162 Black Walking ,Training,Sneakers,Loafers,Canvas,...",₹499,,asian,₹699,28% off
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹419,,aadi,"₹1,999",79% off
Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹499,,BRUTON,"₹2,499",80% off
"Bersache Sports Shoes For Men|Red For Running,Walking,g...",₹649,,BERSACHE,"₹3,842",83% off
Pictor M Running Shoes For Men,"₹1,712",,ADIDAS,"₹4,999",65% off
FlightSaber M Running Shoes For Men,"₹2,519",,ADIDAS,"₹5,999",58% off
Derby For Men,₹667,,Bata,"₹1,099",39% off
Running Shoes For Men,"₹1,099",,asian,"₹1,999",45% off
CAMP KRIPTO Running Shoes For Men,"₹1,332",,CAMPUS,"₹1,699",21% off
kardam&sons luxury fashionable Stylish Light Weight Sne...,₹584,,kardam&sons,"₹1,899",69% off
Waterproof-05 sports shoes for men | Latest Stylish Cas...,₹599,,asian,₹999,40% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹449,,aadi,"₹1,999",77% off
wndr-11 sports shoes for men | Latest Stylish Casual sp...,₹514,,asian,₹699,26% off
DURAMO 10 Running Shoes For Men,"₹3,102",,ADIDAS,"₹6,599",52% off
Premium Casual White Shoes for Men High Tops For Men,₹449,,BIRDE,"₹1,499",70% off
Pictor M Running Shoes For Men,"₹2,099",,ADIDAS,"₹4,999",58% off
Trendy Sports Running Running Shoes For Men,₹299,,BRUTON,"₹1,299",76% off
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,,aadi,₹999,70% off
SOCKS Running Shoes For Men,₹399,,density,₹999,60% off
Derby For Men,₹649,,Bata,₹999,35% off
Modern Trendy Sneakers Shoes Sneakers For Men,₹299,,BRUTON,"₹1,299",76% off
Combo Pack Of 2 Casual Shoes Sneakers For Men Sneakers ...,₹499,,BRUTON,"₹2,499",80% off
Premium Navy Sports Shoes For Men Walking Shoes For Men,₹715,,BIRDE,"₹1,999",64% off
ACTIVE RUN Running Shoes For Men,₹945,,HRX by Hrithik Roshan,"₹2,699",64% off
Exclusive Affordable Collection of Trendy & Stylish Spo...,₹749,,World Wear Footwear,"₹2,049",63% off
NK COURT VISION LO Basketball Shoes For Men,"₹4,271",,NIKE,"₹5,695",25% off
Comfortable and Light Weight sports shoes for men and b...,₹279,,Elevarse,₹899,68% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
CRISTY Running Shoes For Women,₹469,,CAMPUS,₹699,32% off
Comfortable and Light Weight sports shoes for men and b...,₹279,,Elevarse,₹899,68% off
shoes Walking Shoes For Men,₹399,,WAAN,"₹1,999",80% off
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹419,,aadi,"₹1,999",79% off
