name,price,rr
"MOTOROLA g82 5G (White Lily, 128 GB)","₹21,499","5,735 Ratings & 682 Reviews"
Good One G5605,₹999,"2,104 Ratings & 347 Reviews"
Micromax X818,"₹1,545","2,894 Ratings & 230 Reviews"
"vivo V27 5G (Magic Blue, 128 GB)","₹32,999","8,013 Ratings & 1,095 Reviews"
LAVA Hero 600i,₹899,499 Ratings & 32 Reviews
LAVA A3,"₹1,288","28,008 Ratings & 2,841 Reviews"
"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)","₹16,299","9,312 Ratings & 718 Reviews"
I Kall K100,₹704,"6,308 Ratings & 575 Reviews"
"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)","₹24,346",228 Ratings & 30 Reviews
"realme 9i 5G (Soulful Blue, 64 GB)","₹14,999","45,620 Ratings & 2,211 Reviews"
LAVA Hero 600i,₹899,499 Ratings & 32 Reviews
"vivo V27 5G (Magic Blue, 128 GB)","₹32,999","8,013 Ratings & 1,095 Reviews"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹16,999","6,747 Ratings & 1,016 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹18,499","1,81,956 Ratings & 14,190 Reviews"
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹6,275","3,265 Ratings & 271 Reviews"
Micromax X818,"₹1,545","2,894 Ratings & 230 Reviews"
"REDMI A1+ (Black, 32 GB)","₹7,499",703 Ratings & 43 Reviews
"OPPO A17 (Lake Blue, 64 GB)","₹11,749","4,782 Ratings & 187 Reviews"
"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)","₹24,346",228 Ratings & 30 Reviews
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)","₹10,958","3,105 Ratings & 189 Reviews"
"MOTOROLA g82 5G (White Lily, 128 GB)","₹21,499","5,735 Ratings & 682 Reviews"
"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999","17,151 Ratings & 1,749 Reviews"
"MOTOROLA g72 (Polar Blue, 128 GB)","₹15,999","14,231 Ratings & 1,884 Reviews"
