name,price,rr,brand,orignal_price,discount
Small 16 L Backpack Small backpack casual daypack -1 co...,₹292,,STOIC,₹799,63% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
Large 36 L Laptop Backpack Water Resistant College Scho...,₹539,,GOOD FRIENDS,"₹1,999",73% off
Large 31 L Backpack RIDDLE,"₹1,425",,SKYBAGS,"₹2,398",40% off
37.5 L Laptop Backpack Spacy Unisex Bag with rain cover...,₹705,,WROGN,"₹3,999",82% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Medium 28 L Backpack BOUNCE CASUAL BACKPACK 03 - GREY,"₹1,199",,AMERICAN TOURISTER,"₹2,180",45% off
Large 32 L Backpack Multipurpose Premium Anti-Theft Bac...,₹908,,Emperor,"₹2,100",56% off
Small 15 L Backpack DAYPACK,₹399,,SAFARI,₹799,50% off
Medium 24 L Backpack PROTECTOR LP BP BLACK,"₹1,099",,ARISTOCRAT,"₹3,400",67% off
18.5 L Backpack Echo Plus,₹899,,PUMA,"₹1,199",25% off
Large 36 L Backpack Big Storage bags men :: Casual coll...,₹852,,ZIPLINE,"₹1,899",55% off
Large 40 L Laptop Backpack simna.1553 large 30 L airpor...,₹676,,Flycraft,"₹2,699",74% off
Medium 30 L Backpack laptop Bag||College Bag||BACKPACK|...,₹381,,HP,"₹1,108",65% off
Large 35 L Backpack Comet 4,₹849,,Lunar,"₹1,699",50% off
Large 40 L Laptop Backpack TRENDY TOURISTER RUCKSACK FO...,₹493,,Sonex,"₹1,999",75% off
Small 15 L Backpack BACKPACK HIKKING,₹267,,Straplt,₹699,61% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
Large 32 L Backpack Cooper backpack with USB charging P...,₹589,,True Human,"₹2,599",77% off
Large 32 L Backpack NEW NEON 07 UNISEX GRAPHIC BACKPACK,"₹1,099",,SKYBAGS,"₹2,398",54% off
Medium 21 L Backpack Sprint Backpack,₹500,,Roadster,"₹1,999",74% off
23.5 L Backpack FIND,₹799,,SAFARI,"₹1,958",59% off
Small 10 L Backpack Bag,₹549,,NSUN QUECHUA,"₹1,599",65% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,360",,SKYBAGS,"₹3,180",57% off
Small 12 L Backpack Women / Girls Stylish Trendy Colleg...,₹459,,deepify,"₹1,399",67% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
Medium 25 L Laptop Backpack Terror Black bag,₹449,,Flyscape,"₹1,349",66% off
